horizon,regime,model_name,probability_bucket,observations,avg_predicted_probability,realized_profit_rate,calibration_gap
5d,bull,cart,0.50-0.55,0,,,
5d,bull,cart,0.55-0.60,0,,,
5d,bull,cart,0.60-0.65,0,,,
5d,bull,cart,0.65+,24,1.0,0.5833333333333334,-0.41666666666666663
5d,bull,cart,lt_0.50,56,0.0,0.4107142857142857,0.4107142857142857
5d,bull,lightgbm,0.50-0.55,3,0.5282185238679015,0.3333333333333333,-0.19488519053456815
5d,bull,lightgbm,0.55-0.60,1,0.5522933831807476,1.0,0.4477066168192524
5d,bull,lightgbm,0.60-0.65,0,,,
5d,bull,lightgbm,0.65+,10,0.8140059259486725,0.5,-0.3140059259486725
5d,bull,lightgbm,lt_0.50,66,0.10416094744192421,0.45454545454545453,0.3503845071035303
5d,bull,xgboost,0.50-0.55,2,0.5208266377449036,0.5,-0.020826637744903564
5d,bull,xgboost,0.55-0.60,1,0.5827799439430237,1.0,0.4172200560569763
5d,bull,xgboost,0.60-0.65,1,0.6057974100112915,1.0,0.3942025899887085
5d,bull,xgboost,0.65+,9,0.7951255506939359,0.5555555555555556,-0.2395699951383803
5d,bull,xgboost,lt_0.50,67,0.21923681565407496,0.43283582089552236,0.2135990052414474
5d,sideway,cart,0.50-0.55,0,,,
5d,sideway,cart,0.55-0.60,0,,,
5d,sideway,cart,0.60-0.65,0,,,
5d,sideway,cart,0.65+,16,1.0,0.75,-0.25
5d,sideway,cart,lt_0.50,52,0.0,0.5,0.5
5d,sideway,lightgbm,0.50-0.55,0,,,
5d,sideway,lightgbm,0.55-0.60,0,,,
5d,sideway,lightgbm,0.60-0.65,0,,,
5d,sideway,lightgbm,0.65+,7,0.862074973091907,0.8571428571428571,-0.004932115949049853
5d,sideway,lightgbm,lt_0.50,61,0.09526970314293984,0.5245901639344263,0.42932046079148645
5d,sideway,xgboost,0.50-0.55,1,0.5366541147232056,1.0,0.46334588527679443
5d,sideway,xgboost,0.55-0.60,0,,,
5d,sideway,xgboost,0.60-0.65,0,,,
5d,sideway,xgboost,0.65+,6,0.7571318248907725,0.8333333333333334,0.0762015084425609
5d,sideway,xgboost,lt_0.50,61,0.17761306076875474,0.5245901639344263,0.34697710316567154
