date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error,entry_date,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,actual_return_combined,predicted_return_combined,actual_profit_label_combined,predicted_profit_label_combined,predicted_profit_probability_combined,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score,benchmark_date,close,m_ret,market_return_lookback,market_volatility_lookback,regime,benchmark_stale_days,benchmark_data_available
2023-12-27,ACB,cart,2023-11-29,2023-12-27,20d,20,0.056201550387597,0.0,0.056201550387597,100.0,2023-11-30,0.0488339262194723,1,0,0.0,0.056201550387597,0.0,1,0,0.0,2023-12-27,0.6512780386019822,0.6512780386019822,0.0,0.3256390193009911,False,reject,reject,reject,0.7272727272727273,0.0454545454545454,0.3863636363636363,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,DGC,cart,2023-11-29,2023-12-27,20d,20,0.0147993987744248,-0.0134213659486956,0.0282207647231205,190.6885891330225,2023-11-30,0.0077205788527296,1,0,0.0,0.0147993987744248,-0.0134213659486956,1,0,0.0,2023-12-27,0.6071492594811536,0.6071492594811536,0.0,0.3035746297405768,False,reject,reject,reject,0.3636363636363636,0.0454545454545454,0.2045454545454545,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,HPG,cart,2023-11-29,2023-12-27,20d,20,0.0278728606356968,0.0669050051072523,0.0390321444715555,140.0363779725107,2023-11-30,0.0167254356464501,1,1,1.0,0.0278728606356968,0.0669050051072523,1,1,1.0,2023-12-27,0.8712583449092389,0.8712583449092389,1.0,0.9356291724546196,True,strong_positive,strong_positive,strong_positive,1.0,0.9545454545454546,0.9772727272727272,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,MWG,cart,2023-11-29,2023-12-27,20d,20,0.1043478260869563,-0.0244019138755979,0.1287497399625543,123.38516746411476,2023-11-30,0.095201400361891,1,1,1.0,0.1043478260869563,-0.0244019138755979,1,1,1.0,2023-12-27,0.5710457677840931,0.5710457677840931,1.0,0.7855228838920465,False,reject,strong_positive,weak_or_uncertain,0.1818181818181817,0.9545454545454546,0.5681818181818181,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,ACB,lightgbm,2023-11-29,2023-12-27,20d,20,0.056201550387597,-0.0052409354028344,0.0614424857904314,109.32525057883645,2023-11-30,0.0488339262194723,1,0,0.1582944112297814,0.056201550387597,-0.0052409354028344,1,0,0.1582944112297814,2023-12-27,0.4481739903865623,0.4481739903865623,0.1582944112297814,0.3032342008081718,False,reject,reject,reject,0.4545454545454546,0.3636363636363636,0.4090909090909091,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,DGC,lightgbm,2023-11-29,2023-12-27,20d,20,0.0147993987744248,-0.0647044976177282,0.079503896392153,537.2103124185395,2023-11-30,0.0077205788527296,1,0,0.0044912438465456,0.0147993987744248,-0.0647044976177282,1,0,0.0044912438465456,2023-12-27,0.2646003114296905,0.2646003114296905,0.0044912438465456,0.134545777638118,False,reject,reject,reject,0.0909090909090909,0.1818181818181817,0.1363636363636363,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,HPG,lightgbm,2023-11-29,2023-12-27,20d,20,0.0278728606356968,0.0414292987558949,0.0135564381201981,48.63669465930738,2023-11-30,0.0167254356464501,1,1,0.9370360646932988,0.0278728606356968,0.0414292987558949,1,1,0.9370360646932988,2023-12-27,0.5922525868106213,0.5922525868106213,0.9370360646932988,0.7646443257519601,True,strong_positive,strong_positive,strong_positive,0.9090909090909092,0.8181818181818181,0.8636363636363635,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,MWG,lightgbm,2023-11-29,2023-12-27,20d,20,0.1043478260869563,-0.0040314213216991,0.1083792474086555,103.86344543329508,2023-11-30,0.095201400361891,1,0,0.3259410312917578,0.1043478260869563,-0.0040314213216991,1,0,0.3259410312917578,2023-12-27,0.4519079568923317,0.4519079568923317,0.3259410312917578,0.3889244940920447,False,reject,reject,reject,0.5454545454545454,0.4545454545454546,0.5,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,ACB,xgboost,2023-11-29,2023-12-27,20d,20,0.056201550387597,-0.0211350172758102,0.0773365676634072,137.60575487695883,2023-11-30,0.0488339262194723,1,0,0.3738314807415008,0.056201550387597,-0.0211350172758102,1,0,0.3738314807415008,2023-12-27,0.3586825159384122,0.3586825159384122,0.3738314807415008,0.3662569983399565,False,reject,reject,reject,0.2727272727272727,0.5454545454545454,0.409090909090909,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
2023-12-27,DGC,xgboost,2023-11-29,2023-12-27,20d,20,0.0147993987744248,-0.0806886106729507,0.0954880094473755,645.2154638362106,2023-11-30,0.0077205788527296,1,0,0.0716050788760185,0.0147993987744248,-0.0806886106729507,1,0,0.0716050788760185,2023-12-27,0.1658683751006749,0.1658683751006749,0.0716050788760185,0.1187367269883467,False,reject,reject,reject,0.0,0.2727272727272727,0.1363636363636363,2023-11-29,1102.8,0.006727951580657754,0.06073139295538921,0.01398917464700706,bull,0,True
