fold_id,fold_number,entity_name,selection_family,status,observations,active_observations,average_actual_return,profit_label_hit_rate,average_predicted_return,average_predicted_profit_probability,average_selector_score,selector_score_std,top_1_avg_return,top_1_profit_rate,top_3_avg_return,top_3_profit_rate,top_5_avg_return,top_5_profit_rate,avg_return_vs_fixed_best_global,profit_rate_vs_fixed_best_global
fold_003,3,simple_regime_lookup,selector,evaluated,148,112,0.0463114148900075,0.7635135135135135,-0.017428744470324442,0.28188200945579256,0.2058304091077154,0.7079031847245216,0.021255147788654716,0.6756756756756757,0.055909514684225836,0.8288288288288288,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,regime_weighted_rank,selector,evaluated,148,112,0.0463114148900075,0.7635135135135135,-0.017428744470324442,0.28188200945579256,0.2058304091077154,0.7079031847245216,0.021255147788654716,0.6756756756756757,0.055909514684225836,0.8288288288288288,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,fallback_global,selector,evaluated,148,36,0.0463114148900075,0.7635135135135135,-0.01978189621602082,0.29339084656896525,-0.5577513287008783,0.7815222893946128,0.02356544249454266,0.6756756756756757,0.041279169216294605,0.7207207207207207,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,fixed_best_global_setup,baseline,evaluated,148,36,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,-0.5577513287008782,0.7815222893946127,0.02356544249454266,0.6756756756756757,0.041279169216294605,0.7207207207207207,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,regime_agnostic_top_ranked_setup,baseline,evaluated,148,36,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,-0.5577513287008782,0.7815222893946127,0.02356544249454266,0.6756756756756757,0.041279169216294605,0.7207207207207207,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,naive_global_baseline,baseline,evaluated,148,148,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,-0.019781896216020816,0.07598334553512463,0.021255147788654716,0.6756756756756757,0.05935960491771995,0.8558558558558559,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,fixed_best_regression_model,baseline,evaluated,148,36,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,-0.5577513287008782,0.7815222893946127,0.02356544249454266,0.6756756756756757,0.041279169216294605,0.7207207207207207,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,fixed_best_classifier_model,baseline,evaluated,148,36,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,-0.5577513287008782,0.7815222893946127,0.02356544249454266,0.6756756756756757,0.041279169216294605,0.7207207207207207,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,fixed_best_horizon,baseline,evaluated,148,36,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,-0.5577513287008782,0.7815222893946127,0.02356544249454266,0.6756756756756757,0.041279169216294605,0.7207207207207207,0.0463114148900075,0.7635135135135135,0.0,0.0
fold_003,3,fixed_best_combined_method,baseline,evaluated,148,148,0.0463114148900075,0.7635135135135135,-0.019781896216020816,0.29339084656896525,0.29339084656896525,0.36116713081085244,0.021255147788654716,0.6756756756756757,0.04015026077769946,0.7477477477477478,0.0463114148900075,0.7635135135135135,0.0,0.0
