horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
5d,sideway,cart,combined_rank_based,rank_based_joint_score,1,,,33,33,-0.007738773440635873,0.2727272727272727,0.2727272727272727,0.23076923076923078,0.9230769230769229
5d,sideway,cart,combined_rank_based,rank_based_joint_score,3,,,33,99,-0.00868770401277429,0.23232323232323232,0.23232323232323232,0.5897435897435898,0.7863247863247863
5d,sideway,cart,combined_rank_based,rank_based_joint_score,5,,,33,132,-0.00669451881780149,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,cart,combined_weighted_linear,combined_score,1,,,33,33,-0.008161787568957527,0.2727272727272727,0.2727272727272727,0.23076923076923078,0.9230769230769229
5d,sideway,cart,combined_weighted_linear,combined_score,3,,,33,99,-0.00868770401277429,0.23232323232323232,0.23232323232323232,0.5897435897435898,0.7863247863247863
5d,sideway,cart,combined_weighted_linear,combined_score,5,,,33,132,-0.00669451881780149,0.29545454545454547,0.29545454545454547,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,25,25,-0.005796617387627148,0.32,0.32,0.7272727272727273,1.1345454545454545
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,25,25,-0.005796617387627148,0.32,0.32,0.7272727272727273,1.1345454545454545
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.6,25,25,-0.005796617387627148,0.32,0.32,0.7272727272727273,1.1345454545454545
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.65,25,25,-0.005796617387627148,0.32,0.32,0.7272727272727273,1.1345454545454545
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,23,23,-0.004583727796316372,0.34782608695652173,0.34782608695652173,0.7272727272727273,1.0434782608695652
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,23,23,-0.004583727796316372,0.34782608695652173,0.34782608695652173,0.7272727272727273,1.0434782608695652
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.6,23,23,-0.004583727796316372,0.34782608695652173,0.34782608695652173,0.7272727272727273,1.0434782608695652
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.65,23,23,-0.004583727796316372,0.34782608695652173,0.34782608695652173,0.7272727272727273,1.0434782608695652
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.5,22,22,-0.0053931686297399445,0.3181818181818182,0.3181818181818182,0.7,0.9863636363636363
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.55,22,22,-0.0053931686297399445,0.3181818181818182,0.3181818181818182,0.7,0.9863636363636363
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.6,22,22,-0.0053931686297399445,0.3181818181818182,0.3181818181818182,0.7,0.9863636363636363
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.65,22,22,-0.0053931686297399445,0.3181818181818182,0.3181818181818182,0.7,0.9863636363636363
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.5,19,19,-0.004842815295321816,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.8771929824561403
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.55,19,19,-0.004842815295321816,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.8771929824561403
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.6,19,19,-0.004842815295321816,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.8771929824561403
5d,sideway,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.65,19,19,-0.004842815295321816,0.3157894736842105,0.3157894736842105,0.6666666666666666,0.8771929824561403
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.6,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.65,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.5,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.55,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.6,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.65,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.55,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.6,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.65,19,25,-0.004243377233365899,0.36,0.36,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.5,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.55,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.6,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.65,25,39,-0.008128308628086089,0.28205128205128205,0.28205128205128205,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.5,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.55,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.6,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.65,23,33,-0.0075543770777777,0.3333333333333333,0.3333333333333333,1.0,1.0
5d,sideway,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.5,22,31,-0.0061206841443784375,0.3225806451612903,0.3225806451612903,1.0,1.0
