model_name,ranking_method,score_column,top_k,ranking_group_mode,return_threshold,probability_threshold,groups_covered,observations,coverage_ratio,average_actual_return,median_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_base_rate
cart,combined_rank_based,rank_based_joint_score,1,date,,,37,37,1.0,-0.004034988600275075,-0.0040133779264213,0.35135135135135137,0.35135135135135137,0.19117647058823528,0.7647058823529411
cart,combined_rank_based,rank_based_joint_score,3,date,,,37,111,1.0,0.0004745885265178252,0.0019685039370078,0.44144144144144143,0.44144144144144143,0.7205882352941176,0.9607843137254901
cart,combined_rank_based,rank_based_joint_score,5,date,,,37,148,0.8,0.0009955853468753288,0.0024681094677347,0.4594594594594595,0.4594594594594595,1.0,1.0
cart,combined_weighted_linear,combined_score,1,date,,,37,37,1.0,-0.002352991592061259,-0.0040133779264213,0.3783783783783784,0.3783783783783784,0.20588235294117646,0.8235294117647058
cart,combined_weighted_linear,combined_score,3,date,,,37,111,1.0,0.000539925957577499,0.0019685039370078,0.44144144144144143,0.44144144144144143,0.7205882352941176,0.9607843137254901
cart,combined_weighted_linear,combined_score,5,date,,,37,148,0.8,0.0009955853468753303,0.0024681094677347,0.4594594594594595,0.4594594594594595,1.0,1.0
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.5,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.5,0.875
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.55,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.5,0.875
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.6,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.5,0.875
cart,combined_weighted_linear_gated,combined_score,1,date,0.0,0.65,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.5,0.875
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.5,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.6111111111111112,0.9821428571428571
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.55,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.6111111111111112,0.9821428571428571
cart,combined_weighted_linear_gated,combined_score,1,date,0.005,0.6,28,28,1.0,-0.0010245898610374928,-0.002900490852298,0.39285714285714285,0.39285714285714285,0.6111111111111112,0.9821428571428571
