model_name,bucket_family,signal_bucket,observations,coverage_ratio,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
cart,combined_signal,moderate_positive,10,0.06756756756756757,0.002138034046368148,0.0179880338967705,0.6,0.6,0.6,0.08823529411764706,1.3058823529411763
cart,combined_signal,reject,26,0.17567567567567569,0.0017650061930781626,0.0055189652170418,0.5769230769230769,0.5,0.5,0.19117647058823528,1.088235294117647
cart,combined_signal,strong_or_moderate_positive,45,0.30405405405405406,-0.0021846938609687977,-0.005800981704596,0.4222222222222222,0.4,0.4,0.2647058823529412,0.8705882352941177
cart,combined_signal,strong_positive,35,0.23648648648648649,-0.0034197589773507834,-0.0067073170731707,0.37142857142857144,0.34285714285714286,0.34285714285714286,0.17647058823529413,0.746218487394958
cart,combined_signal,weak_or_uncertain,77,0.5202702702702703,0.0025943856371573046,0.0032635822614703,0.5844155844155844,0.4805194805194805,0.4805194805194805,0.5441176470588235,1.0458365164247516
cart,predicted_return_only,moderate_positive,19,0.12837837837837837,-0.008060588506183727,0.0032635822614703,0.5263157894736842,0.47368421052631576,0.47368421052631576,0.1323529411764706,1.0309597523219813
cart,predicted_return_only,reject,54,0.36486486486486486,0.0034119853341419435,0.0055189652170418,0.5925925925925926,0.46296296296296297,0.46296296296296297,0.36764705882352944,1.0076252723311547
cart,predicted_return_only,strong_or_moderate_positive,87,0.5878378378378378,-0.002534465709150773,0.0,0.47126436781609193,0.42528735632183906,0.42528735632183906,0.5441176470588235,0.9256254225828261
cart,predicted_return_only,strong_positive,68,0.4594594594594595,-0.0009904019864503883,0.0,0.45588235294117646,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.8961937716262974
cart,predicted_return_only,weak_or_uncertain,7,0.0472972972972973,0.0262282771414287,0.0298181818181817,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.08823529411764706,1.8655462184873948
cart,profit_probability_only,moderate_positive,0,0.0,,,,,,0.0,
cart,profit_probability_only,reject,71,0.4797297297297297,-0.000693229532029249,0.0026143790849673,0.5492957746478874,0.4788732394366197,0.4788732394366197,0.5,1.0422535211267605
cart,profit_probability_only,strong_or_moderate_positive,77,0.5202702702702703,0.002552804261189941,0.002211845662325,0.5194805194805194,0.44155844155844154,0.44155844155844154,0.5,0.9610389610389609
cart,profit_probability_only,strong_positive,77,0.5202702702702703,0.002552804261189941,0.002211845662325,0.5194805194805194,0.44155844155844154,0.44155844155844154,0.5,0.9610389610389609
cart,profit_probability_only,weak_or_uncertain,0,0.0,,,,,,0.0,
lightgbm,combined_signal,moderate_positive,34,0.22972972972972974,-0.0001873324114925799,0.00125156445556935,0.5,0.47058823529411764,0.47058823529411764,0.23529411764705882,1.0242214532871972
lightgbm,combined_signal,reject,17,0.11486486486486487,-0.0032989264053705347,0.0010957703265395,0.5294117647058824,0.35294117647058826,0.35294117647058826,0.08823529411764706,0.7681660899653979
lightgbm,combined_signal,strong_or_moderate_positive,77,0.5202702702702703,0.0016751213232434243,0.0044416243654823,0.5194805194805194,0.4675324675324675,0.4675324675324675,0.5294117647058824,1.017570664629488
lightgbm,combined_signal,strong_positive,43,0.2905405405405405,0.0031477591600114277,0.0073333333333331,0.5348837209302325,0.46511627906976744,0.46511627906976744,0.29411764705882354,1.012311901504788
lightgbm,combined_signal,weak_or_uncertain,54,0.36486486486486486,0.0013785933025760029,0.00232246784332785,0.5555555555555556,0.48148148148148145,0.48148148148148145,0.38235294117647056,1.0479302832244008
lightgbm,predicted_return_only,moderate_positive,46,0.3108108108108108,0.0049719595341203,0.0053545169181171,0.5434782608695652,0.5,0.5,0.3382352941176471,1.088235294117647
lightgbm,predicted_return_only,reject,24,0.16216216216216217,-0.003958368809691348,0.0016538079944322498,0.5416666666666666,0.375,0.375,0.1323529411764706,0.8161764705882353
lightgbm,predicted_return_only,strong_or_moderate_positive,113,0.7635135135135135,0.00326697838961332,0.0062674094707519,0.5486725663716814,0.48672566371681414,0.48672566371681414,0.8088235294117647,1.0593440916189483
lightgbm,predicted_return_only,strong_positive,67,0.4527027027027027,0.002096394320250319,0.006993006993007,0.5522388059701493,0.47761194029850745,0.47761194029850745,0.47058823529411764,1.0395083406496926
lightgbm,predicted_return_only,weak_or_uncertain,11,0.07432432432432433,-0.01152918865965128,-0.0152116402116401,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.058823529411764705,0.7914438502673796
lightgbm,profit_probability_only,moderate_positive,18,0.12162162162162163,-0.004137665651578378,0.0011059228311625,0.5,0.3888888888888889,0.3888888888888889,0.10294117647058823,0.8464052287581699
lightgbm,profit_probability_only,reject,56,0.3783783783783784,0.003314965131345949,0.002523734554649,0.5714285714285714,0.4642857142857143,0.4642857142857143,0.38235294117647056,1.0105042016806722
lightgbm,profit_probability_only,strong_or_moderate_positive,87,0.5878378378378378,0.0005835263757658787,0.0025031289111387,0.5172413793103449,0.45977011494252873,0.45977011494252873,0.5882352941176471,1.0006761325219742
lightgbm,profit_probability_only,strong_positive,69,0.46621621621621623,0.001815141687246988,0.006993006993007,0.5217391304347826,0.4782608695652174,0.4782608695652174,0.4852941176470588,1.040920716112532
lightgbm,profit_probability_only,weak_or_uncertain,5,0.033783783783783786,-0.01781164214189116,0.0,0.4,0.4,0.4,0.029411764705882353,0.8705882352941177
xgboost,combined_signal,moderate_positive,29,0.19594594594594594,-0.010712706652063166,-0.01188986232791,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.16176470588235295,0.8255578093306287
xgboost,combined_signal,reject,13,0.08783783783783784,0.006388422053537719,0.002211845662325,0.6153846153846154,0.46153846153846156,0.46153846153846156,0.08823529411764706,1.004524886877828
xgboost,combined_signal,strong_or_moderate_positive,63,0.42567567567567566,-0.0014566332489281766,0.0,0.47619047619047616,0.4126984126984127,0.4126984126984127,0.38235294117647056,0.8982259570494864
xgboost,combined_signal,strong_positive,34,0.22972972972972974,0.0064382528890399035,0.00679465653080415,0.5588235294117647,0.4411764705882353,0.4411764705882353,0.22058823529411764,0.9602076124567474
xgboost,combined_signal,weak_or_uncertain,72,0.4864864864864865,0.0021675699906115765,0.0038526033134763,0.5694444444444444,0.5,0.5,0.5294117647058824,1.088235294117647
xgboost,predicted_return_only,moderate_positive,59,0.39864864864864863,-0.006117605251394968,-0.00366927592955,0.4576271186440678,0.423728813559322,0.423728813559322,0.36764705882352944,0.9222333000997008
xgboost,predicted_return_only,reject,25,0.16891891891891891,0.011061371472894243,0.022560078469838,0.64,0.56,0.56,0.20588235294117646,1.2188235294117649
xgboost,predicted_return_only,strong_or_moderate_positive,102,0.6891891891891891,-0.002562481291115247,0.0,0.49019607843137253,0.4215686274509804,0.4215686274509804,0.6323529411764706,0.9175317185697808
xgboost,predicted_return_only,strong_positive,43,0.2905405405405405,0.0023154794915941374,0.0065963060686013,0.5348837209302325,0.4186046511627907,0.4186046511627907,0.2647058823529412,0.9110807113543091
xgboost,predicted_return_only,weak_or_uncertain,21,0.14189189189189189,0.006294544581378466,0.0139557266602501,0.6190476190476191,0.5238095238095238,0.5238095238095238,0.16176470588235295,1.1400560224089635
xgboost,profit_probability_only,moderate_positive,13,0.08783783783783784,-0.013758496190057024,-0.00366927592955,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.07352941176470588,0.8371040723981901
xgboost,profit_probability_only,reject,58,0.3918918918918919,-0.0009799603503185318,0.0021375596949865,0.5517241379310345,0.43103448275862066,0.43103448275862066,0.36764705882352944,0.9381338742393508
xgboost,profit_probability_only,strong_or_moderate_positive,82,0.5540540540540541,0.002245227843882137,0.0053545169181171,0.524390243902439,0.47560975609756095,0.47560975609756095,0.5735294117647058,1.0351506456241033
