ticker,effective_start,provider_current_end,rows,first_datetime,last_datetime,rows_before_train_cutoff,rows_after_eval_start,chunks_attempted,chunks_with_rows,chunks_empty,chunks_failed,usable_candidate,skipped_already_usable,stopped_by_runtime_cap,resume_command
ACB,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,0,0,0,0,true,true,false,
BID,2015-01-01,2026-05-16,1455,2023-09-11 10:00:00,2026-05-14 00:00:00,1321,134,0,0,0,0,true,true,false,
CTG,2015-01-01,2026-05-16,1440,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,119,0,0,0,0,true,true,false,
DGC,2015-01-01,2026-05-16,1435,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,114,0,0,0,0,true,true,false,
FPT,2015-01-01,2026-05-16,1449,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,128,0,0,0,0,true,true,false,
GAS,2015-01-01,2026-05-16,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,135,0,0,0,0,true,true,false,
GVR,2018-03-21,2026-05-16,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,135,9,4,5,0,true,false,false,
HDB,2018-01-05,2026-05-16,1439,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,118,9,4,5,0,true,false,false,
HPG,2015-01-01,2026-05-16,1592,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,271,12,4,8,0,true,false,false,
LPB,2017-10-05,2026-05-16,1590,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,269,10,4,6,0,true,false,false,
MBB,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
MSN,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
MWG,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
PLX,2017-04-21,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,10,4,6,0,true,false,false,
SAB,2016-12-06,2026-05-16,1421,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,100,11,4,7,0,true,false,false,
SHB,2015-01-01,2026-05-16,1620,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,299,12,4,8,0,true,false,false,
SSB,2021-03-24,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,6,4,2,0,true,false,false,
SSI,2015-01-01,2026-05-16,1446,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,125,12,4,8,0,true,false,false,
STB,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
TCB,2015-01-01,2026-05-16,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,135,12,4,8,0,true,false,false,
TPB,2015-01-01,2026-05-16,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,135,12,4,8,0,true,false,false,
VCB,2015-01-01,2026-05-16,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,135,12,4,8,0,true,false,false,
VHM,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
VIB,2015-01-01,2026-05-16,1602,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,281,12,4,8,0,true,false,false,
VIC,2015-01-01,2026-05-16,1448,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,127,12,4,8,0,true,false,false,
VJC,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
VNM,2015-01-01,2026-05-16,1456,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,135,12,4,8,0,true,false,false,
VPB,2015-01-01,2026-05-16,1589,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,268,12,4,8,0,true,false,false,
VPL,2015-01-01,2026-05-16,176,2025-08-27 00:00:00,2026-05-15 00:00:00,0,176,12,2,10,0,false,false,false,
VRE,2015-01-01,2026-05-16,1497,2023-09-11 10:00:00,2026-05-15 00:00:00,1321,176,12,4,8,0,true,false,false,
