horizon,regime,model_name,ranking_method,score_column,top_k,return_threshold,probability_threshold,groups_covered,observations,average_actual_return,profit_rate,precision_at_top_k,recall_of_profitable_cases,lift_vs_regime_base_rate
20d,bull,cart,combined_rank_based,rank_based_joint_score,1,,,10,10,-0.0029966938719184107,0.3,0.3,0.21428571428571427,0.8571428571428572
20d,bull,cart,combined_rank_based,rank_based_joint_score,3,,,10,30,0.008062048263146212,0.4666666666666667,0.4666666666666667,1.0,1.3333333333333335
20d,bull,cart,combined_rank_based,rank_based_joint_score,5,,,10,40,0.0027319226529838327,0.35,0.35,1.0,1.0
20d,bull,cart,combined_weighted_linear,combined_score,1,,,10,10,-0.0029966938719184107,0.3,0.3,0.21428571428571427,0.8571428571428572
20d,bull,cart,combined_weighted_linear,combined_score,3,,,10,30,0.008062048263146212,0.4666666666666667,0.4666666666666667,1.0,1.3333333333333335
20d,bull,cart,combined_weighted_linear,combined_score,5,,,10,40,0.0027319226529838327,0.35,0.35,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.5,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.55,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.6,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.0,0.65,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.5,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.55,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.6,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.005,0.65,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.5,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.55,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.6,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.01,0.65,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.5,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.55,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.6,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,1,0.02,0.65,10,10,-0.0029966938719184107,0.3,0.3,0.6,0.7799999999999999
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.0,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.005,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.01,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,3,0.02,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.0,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.005,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.01,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.5,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.55,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.6,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,combined_weighted_linear_gated,combined_score,5,0.02,0.65,10,13,0.007734876887959347,0.38461538461538464,0.38461538461538464,1.0,1.0
20d,bull,cart,predicted_profit_probability,predicted_profit_probability,1,,,10,10,0.01266862175583246,0.6,0.6,0.42857142857142855,1.7142857142857144
20d,bull,cart,predicted_profit_probability,predicted_profit_probability,3,,,10,30,0.0007642233547542203,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.9523809523809524
20d,bull,cart,predicted_profit_probability,predicted_profit_probability,5,,,10,40,0.002731922652983833,0.35,0.35,1.0,1.0
20d,bull,cart,predicted_return,predicted_return,1,,,10,10,0.005761294381862328,0.4,0.4,0.2857142857142857,1.142857142857143
20d,bull,cart,predicted_return,predicted_return,3,,,10,30,0.0022333082344375794,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.9523809523809524
20d,bull,cart,predicted_return,predicted_return,5,,,10,40,0.0027319226529838327,0.35,0.35,1.0,1.0
20d,bull,lightgbm,combined_rank_based,rank_based_joint_score,1,,,10,10,0.02549004764430456,0.6,0.6,0.42857142857142855,1.7142857142857144
20d,bull,lightgbm,combined_rank_based,rank_based_joint_score,3,,,10,30,0.004092127657880816,0.36666666666666664,0.36666666666666664,0.7857142857142857,1.0476190476190477
20d,bull,lightgbm,combined_rank_based,rank_based_joint_score,5,,,10,40,0.0027319226529838327,0.35,0.35,1.0,1.0
20d,bull,lightgbm,combined_weighted_linear,combined_score,1,,,10,10,0.02549004764430456,0.6,0.6,0.42857142857142855,1.7142857142857144
20d,bull,lightgbm,combined_weighted_linear,combined_score,3,,,10,30,0.003516170656333103,0.36666666666666664,0.36666666666666664,0.7857142857142857,1.0476190476190477
20d,bull,lightgbm,combined_weighted_linear,combined_score,5,,,10,40,0.0027319226529838327,0.35,0.35,1.0,1.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.5,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1851851851851851
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.55,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.75,1.25
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.6,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.3333333333333333
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.0,0.65,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.1428571428571428
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.5,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1851851851851851
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.55,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.75,1.25
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.6,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.3333333333333333
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.005,0.65,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.1428571428571428
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.5,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1851851851851851
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.55,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.75,1.25
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.6,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.3333333333333333
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.01,0.65,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.1428571428571428
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.5,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.1111111111111112
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.55,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.75,1.1666666666666667
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.6,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.2380952380952381
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,1,0.02,0.65,9,9,0.029487939355796966,0.6666666666666666,0.6666666666666666,0.8571428571428571,1.0476190476190477
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.5,9,16,0.016037573405082026,0.5625,0.5625,1.0,1.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.55,9,15,0.01646634552984068,0.5333333333333333,0.5333333333333333,1.0,1.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.6,9,14,0.015040545615103873,0.5,0.5,1.0,1.0
20d,bull,lightgbm,combined_weighted_linear_gated,combined_score,3,0.0,0.65,9,12,0.019680074353313343,0.5833333333333334,0.5833333333333334,1.0,1.0
