horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
3d,bull,cart,moderate_positive,0,,,,,,0.0,
3d,bull,cart,reject,1,-0.0127248793330407,-0.0127248793330407,0.0,0.0,0.0,0.0,0.0
3d,bull,cart,strong_or_moderate_positive,1,0.0131423757371524,0.0131423757371524,1.0,1.0,1.0,0.5,2.0
3d,bull,cart,strong_positive,1,0.0131423757371524,0.0131423757371524,1.0,1.0,1.0,0.5,2.0
3d,bull,cart,weak_or_uncertain,2,-0.00369518597624925,-0.00369518597624925,0.5,0.5,0.5,0.5,1.0
3d,bull,lightgbm,moderate_positive,1,0.0131423757371524,0.0131423757371524,1.0,1.0,1.0,0.5,2.0
3d,bull,lightgbm,reject,1,-0.0099952403617324,-0.0099952403617324,0.0,0.0,0.0,0.0,0.0
3d,bull,lightgbm,strong_or_moderate_positive,2,0.00787362207319315,0.00787362207319315,1.0,1.0,1.0,1.0,2.0
3d,bull,lightgbm,strong_positive,1,0.0026048684092339,0.0026048684092339,1.0,1.0,1.0,0.5,2.0
3d,bull,lightgbm,weak_or_uncertain,1,-0.0127248793330407,-0.0127248793330407,0.0,0.0,0.0,0.0,0.0
3d,bull,xgboost,moderate_positive,1,0.0131423757371524,0.0131423757371524,1.0,1.0,1.0,0.5,2.0
3d,bull,xgboost,reject,1,-0.0099952403617324,-0.0099952403617324,0.0,0.0,0.0,0.0,0.0
3d,bull,xgboost,strong_or_moderate_positive,2,0.00787362207319315,0.00787362207319315,1.0,1.0,1.0,1.0,2.0
3d,bull,xgboost,strong_positive,1,0.0026048684092339,0.0026048684092339,1.0,1.0,1.0,0.5,2.0
3d,bull,xgboost,weak_or_uncertain,1,-0.0127248793330407,-0.0127248793330407,0.0,0.0,0.0,0.0,0.0
3d,sideway,cart,moderate_positive,7,-0.019474607076537725,-0.0169003621506174,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.02564102564102564,0.5128205128205128
3d,sideway,cart,reject,30,-0.0008185340072959203,-0.00092123445416855,0.4666666666666667,0.36666666666666664,0.36666666666666664,0.28205128205128205,1.316239316239316
3d,sideway,cart,strong_or_moderate_positive,35,-0.00444285763437882,-0.0033521524347212,0.45714285714285713,0.22857142857142856,0.22857142857142856,0.20512820512820512,0.8205128205128205
3d,sideway,cart,strong_positive,28,-0.0006849202738390927,4.9981720151581754e-17,0.5,0.25,0.25,0.1794871794871795,0.8974358974358974
3d,sideway,cart,weak_or_uncertain,75,-0.003795188185149335,-0.0018921475875117,0.44,0.26666666666666666,0.26666666666666666,0.5128205128205128,0.9572649572649572
3d,sideway,lightgbm,moderate_positive,15,-0.006148164302978454,-0.0053835800807535,0.4,0.3333333333333333,0.3333333333333333,0.1282051282051282,1.1965811965811965
3d,sideway,lightgbm,reject,36,0.0028385731198185805,0.0036152679269109,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3076923076923077,1.1965811965811965
3d,sideway,lightgbm,strong_or_moderate_positive,29,-0.012387943079271274,-0.0130513794812489,0.3103448275862069,0.27586206896551724,0.27586206896551724,0.20512820512820512,0.9902740937223695
3d,sideway,lightgbm,strong_positive,14,-0.019073420339585007,-0.029892750691930897,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.07692307692307693,0.7692307692307692
3d,sideway,lightgbm,weak_or_uncertain,75,-0.0027684457909725115,-0.0018921475875117,0.4533333333333333,0.25333333333333335,0.25333333333333335,0.48717948717948717,0.9094017094017095
3d,sideway,xgboost,moderate_positive,16,-0.012576439002062251,-0.010874342628263901,0.25,0.1875,0.1875,0.07692307692307693,0.673076923076923
3d,sideway,xgboost,reject,25,0.006718022698120356,0.0069284064665127,0.68,0.32,0.32,0.20512820512820512,1.1487179487179486
3d,sideway,xgboost,strong_or_moderate_positive,26,-0.012699663416560284,-0.01297013418506885,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.1282051282051282,0.6903353057199211
3d,sideway,xgboost,strong_positive,10,-0.012896822479757142,-0.01297013418506885,0.2,0.2,0.2,0.05128205128205128,0.717948717948718
3d,sideway,xgboost,weak_or_uncertain,89,-0.0033983648306828984,-0.0018814675446849,0.449438202247191,0.29213483146067415,0.29213483146067415,0.6666666666666666,1.048689138576779
