date,ticker,model_name,prediction_date,entry_date,target_date,horizon,horizon_days,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2023-01-03,ACB,cart,2022-12-05,2022-12-06,2023-01-03,20d,20,-0.0450032545051855,0,0,0.0
2023-01-04,ACB,cart,2022-12-06,2022-12-07,2023-01-04,20d,20,-0.00019983129554512757,0,1,1.0
2023-01-05,ACB,cart,2022-12-07,2022-12-08,2023-01-05,20d,20,0.011134282291614728,1,1,1.0
2023-01-06,ACB,cart,2022-12-08,2022-12-09,2023-01-06,20d,20,0.010145525144751977,1,1,1.0
2023-01-09,ACB,cart,2022-12-09,2022-12-12,2023-01-09,20d,20,-0.004770497927866879,0,1,1.0
2023-01-10,ACB,cart,2022-12-12,2022-12-13,2023-01-10,20d,20,0.039915133286353655,1,1,1.0
2023-01-11,ACB,cart,2022-12-13,2022-12-14,2023-01-11,20d,20,0.040695453652246805,1,1,1.0
2023-01-12,ACB,cart,2022-12-14,2022-12-15,2023-01-12,20d,20,0.05785093419323162,1,1,1.0
2023-01-13,ACB,cart,2022-12-15,2022-12-16,2023-01-13,20d,20,0.043117634274105754,1,1,1.0
2023-01-16,ACB,cart,2022-12-16,2022-12-19,2023-01-16,20d,20,0.08477927848654909,1,1,1.0
2023-01-17,ACB,cart,2022-12-19,2022-12-20,2023-01-17,20d,20,0.10393943536452999,1,1,1.0
2023-01-18,ACB,cart,2022-12-20,2022-12-21,2023-01-18,20d,20,0.12043132056669559,1,1,1.0
2023-01-19,ACB,cart,2022-12-21,2022-12-22,2023-01-19,20d,20,0.12267745383738515,1,1,1.0
2023-01-27,ACB,cart,2022-12-22,2022-12-23,2023-01-27,20d,20,0.1432360063176794,1,1,1.0
2023-01-30,ACB,cart,2022-12-23,2022-12-26,2023-01-30,20d,20,0.10179832582978965,1,1,1.0
2023-01-31,ACB,cart,2022-12-26,2022-12-27,2023-01-31,20d,20,0.17002182177194625,1,1,1.0
2023-02-01,ACB,cart,2022-12-27,2022-12-28,2023-02-01,20d,20,0.13171069466742935,1,1,1.0
2023-02-02,ACB,cart,2022-12-28,2022-12-29,2023-02-02,20d,20,0.12850681529375851,1,1,1.0
2023-02-03,ACB,cart,2022-12-29,2022-12-30,2023-02-03,20d,20,0.10541322425773347,1,1,1.0
2023-02-06,ACB,cart,2022-12-30,2023-01-03,2023-02-06,20d,20,0.12388809708655346,1,1,1.0
2023-02-07,ACB,cart,2023-01-03,2023-01-04,2023-02-07,20d,20,0.06861284013415725,1,0,0.0
