ticker,model_name,observations,accuracy,precision,recall,f1,roc_auc,positive_class_precision,true_negative,false_positive,false_negative,true_positive,rank_f1,rank_positive_precision,rank_recall,rank_roc_auc,average_rank
OVERALL,lightgbm,148,0.6013513513513513,0.6923076923076923,0.140625,0.23376623376623376,0.5271577380952381,0.6923076923076923,80,4,55,9,2,1,3,1,1.75
OVERALL,cart,148,0.5202702702702703,0.4146341463414634,0.265625,0.3238095238095238,0.48995535714285715,0.4146341463414634,60,24,47,17,1,3,1,3,2.0
OVERALL,xgboost,148,0.5405405405405406,0.4166666666666667,0.15625,0.22727272727272727,0.5119047619047619,0.4166666666666667,70,14,54,10,3,2,2,2,2.25
