date,ticker,model_name,prediction_date,entry_date,target_date,horizon,horizon_days,actual_net_trade_return,actual_profit_label,predicted_profit_label,predicted_profit_probability
2023-12-27,ACB,cart,2023-12-22,2023-12-25,2023-12-27,3d,3,-0.005150172924177077,0,0,0.0
2023-12-28,ACB,cart,2023-12-25,2023-12-26,2023-12-28,3d,3,0.008143543881433235,1,0,0.0
2023-12-29,ACB,cart,2023-12-26,2023-12-27,2023-12-29,3d,3,0.022912741522606916,1,0,0.0
2024-01-02,ACB,cart,2023-12-27,2023-12-28,2024-01-02,3d,3,0.04222011949004156,1,0,0.0
2024-01-03,ACB,cart,2023-12-28,2023-12-29,2024-01-03,3d,3,0.039211596621128386,1,0,0.0
2024-01-04,ACB,cart,2023-12-29,2024-01-02,2024-01-04,3d,3,0.04914417622793765,1,1,1.0
2024-01-05,ACB,cart,2024-01-02,2024-01-03,2024-01-05,3d,3,0.03172868201550516,1,0,0.0
2024-01-08,ACB,cart,2024-01-03,2024-01-04,2024-01-08,3d,3,-0.0013621065670945676,0,0,0.0
2024-01-09,ACB,cart,2024-01-04,2024-01-05,2024-01-09,3d,3,-0.018717428190522467,0,0,0.0
2024-01-10,ACB,cart,2024-01-05,2024-01-08,2024-01-10,3d,3,-0.024590209212324576,0,0,0.0
2024-01-11,ACB,cart,2024-01-08,2024-01-09,2024-01-11,3d,3,-0.006975585450921806,0,0,0.0
2024-01-12,ACB,cart,2024-01-09,2024-01-10,2024-01-12,3d,3,0.016601025861153307,1,1,1.0
2024-01-15,ACB,cart,2024-01-10,2024-01-11,2024-01-15,3d,3,-0.010874166999908508,0,0,0.0
2024-01-16,ACB,cart,2024-01-11,2024-01-12,2024-01-16,3d,3,0.003151575717284194,1,0,0.0
2024-01-17,ACB,cart,2024-01-12,2024-01-15,2024-01-17,3d,3,-0.02982875005972241,0,0,0.0
2024-01-18,ACB,cart,2024-01-15,2024-01-16,2024-01-18,3d,3,0.0008215776470519298,1,0,0.0
2024-01-19,ACB,cart,2024-01-16,2024-01-17,2024-01-19,3d,3,0.012484579447856525,1,1,1.0
2024-01-22,ACB,cart,2024-01-17,2024-01-18,2024-01-22,3d,3,0.026384697232697985,1,0,0.0
2024-01-23,ACB,cart,2024-01-18,2024-01-19,2024-01-23,3d,3,0.0023460131395445227,1,0,0.0
2024-01-24,ACB,cart,2024-01-19,2024-01-22,2024-01-24,3d,3,-0.022095043638727385,0,1,1.0
2024-01-25,ACB,cart,2024-01-22,2024-01-23,2024-01-25,3d,3,-0.023687722720748927,0,0,0.0
2024-01-26,ACB,cart,2024-01-23,2024-01-24,2024-01-26,3d,3,0.002802554298467541,1,0,0.0
2024-01-29,ACB,cart,2024-01-24,2024-01-25,2024-01-29,3d,3,-0.003143627952661765,0,0,0.0
