date,ticker,horizon,model_name,actual_return,predicted_return,actual_profit_label,predicted_profit_label,predicted_profit_probability,ranking_group,normalized_predicted_return,return_strength,profit_confidence,combined_score,gated_valid_signal,return_only_signal_label,probability_only_signal_label,combined_signal_label,return_rank_score,profit_probability_rank_score,rank_based_joint_score
2023-12-27,ACB,20d,cart,0.056201550387597,0.0,1,0,0.0,2023-12-27,0.6512780386019822,0.6512780386019822,0.0,0.3256390193009911,False,reject,reject,reject,0.7272727272727273,0.045454545454545414,0.38636363636363635
2023-12-27,DGC,20d,cart,0.0147993987744248,-0.0134213659486956,1,0,0.0,2023-12-27,0.6071492594811536,0.6071492594811536,0.0,0.3035746297405768,False,reject,reject,reject,0.36363636363636365,0.045454545454545414,0.20454545454545453
2023-12-27,HPG,20d,cart,0.0278728606356968,0.0669050051072523,1,1,1.0,2023-12-27,0.8712583449092389,0.8712583449092389,1.0,0.9356291724546195,True,strong_positive,strong_positive,strong_positive,1.0,0.9545454545454546,0.9772727272727273
2023-12-27,MWG,20d,cart,0.1043478260869563,-0.0244019138755979,1,1,1.0,2023-12-27,0.5710457677840931,0.5710457677840931,1.0,0.7855228838920465,False,reject,strong_positive,weak_or_uncertain,0.18181818181818177,0.9545454545454546,0.5681818181818181
2023-12-27,ACB,20d,lightgbm,0.056201550387597,-0.0052409354028344,1,0,0.1582944112297814,2023-12-27,0.4481739903865623,0.4481739903865623,0.1582944112297814,0.30323420080817187,False,reject,reject,reject,0.4545454545454546,0.36363636363636365,0.4090909090909091
2023-12-27,DGC,20d,lightgbm,0.0147993987744248,-0.0647044976177282,1,0,0.0044912438465456,2023-12-27,0.2646003114296905,0.2646003114296905,0.0044912438465456,0.13454577763811804,False,reject,reject,reject,0.09090909090909094,0.18181818181818177,0.13636363636363635
2023-12-27,HPG,20d,lightgbm,0.0278728606356968,0.0414292987558949,1,1,0.9370360646932988,2023-12-27,0.5922525868106213,0.5922525868106213,0.9370360646932988,0.7646443257519601,True,strong_positive,strong_positive,strong_positive,0.9090909090909091,0.8181818181818181,0.8636363636363635
2023-12-27,MWG,20d,lightgbm,0.1043478260869563,-0.0040314213216991,1,0,0.3259410312917578,2023-12-27,0.4519079568923317,0.4519079568923317,0.3259410312917578,0.38892449409204477,False,reject,reject,reject,0.5454545454545454,0.4545454545454546,0.5
2023-12-27,ACB,20d,xgboost,0.056201550387597,-0.0211350172758102,1,0,0.3738314807415008,2023-12-27,0.3586825159384122,0.3586825159384122,0.3738314807415008,0.3662569983399565,False,reject,reject,reject,0.2727272727272727,0.5454545454545454,0.40909090909090906
2023-12-27,DGC,20d,xgboost,0.0147993987744248,-0.0806886106729507,1,0,0.0716050788760185,2023-12-27,0.16586837510067498,0.16586837510067498,0.0716050788760185,0.11873672698834674,False,reject,reject,reject,0.0,0.2727272727272727,0.13636363636363635
