date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2024-12-23,ACB,cart,2024-12-18,2024-12-23,3d,3,-0.009995240361732494,0.0712328767123287,0.08122811707406119,812.6679712981087
2024-12-24,ACB,cart,2024-12-19,2024-12-24,3d,3,0.008204633204633272,0.0796900940785834,0.07148546087395014,871.2816172401381
2024-12-25,ACB,cart,2024-12-20,2024-12-25,3d,3,0.026061776061776287,0.0712328767123287,0.04517110065055241,173.32318619989587
2024-12-26,ACB,cart,2024-12-23,2024-12-26,3d,3,0.02644230769230771,0.0712328767123287,0.04479056902002099,169.38978829389742
2024-12-27,ACB,cart,2024-12-24,2024-12-27,3d,3,0.022020105313547145,0.0712328767123287,0.04921277139878155,223.49017272185802
2024-12-30,ACB,cart,2024-12-25,2024-12-30,3d,3,-0.0018814675446849893,0.0712328767123287,0.07311434425701369,3886.0273972599985
2024-12-31,ACB,cart,2024-12-26,2024-12-31,3d,3,0.00983606557377037,0.0796900940785834,0.06985402850481304,710.1826231322747
2025-01-02,ACB,cart,2024-12-27,2025-01-02,3d,3,0.0018735362997657212,0.0796900940785834,0.07781655777881769,4153.458771444586
2025-01-03,ACB,cart,2024-12-30,2025-01-03,3d,3,-0.011781338360037696,0.0712328767123287,0.08301421507236639,704.6246575342461
2025-01-06,ACB,cart,2024-12-31,2025-01-06,3d,3,-0.038961038961038974,0.0712328767123287,0.11019391567336767,282.8310502283103
2025-01-07,ACB,cart,2025-01-02,2025-01-07,3d,3,-0.023375409069658737,0.0796900940785834,0.10306550314824214,440.9142224681796
2025-01-08,ACB,cart,2025-01-03,2025-01-08,3d,3,-0.003814973772055197,0.0796900940785834,0.0835050678506386,2188.8765910349334
2025-01-09,ACB,cart,2025-01-06,2025-01-09,3d,3,0.006274131274131456,0.0712328767123287,0.06495874543819724,1035.3424657533906
2025-01-10,ACB,cart,2025-01-07,2025-01-10,3d,3,-0.011967448539971226,0.0712328767123287,0.08320032525229992,695.2219178082212
2025-01-13,ACB,cart,2025-01-08,2025-01-13,3d,3,-0.010052656773575919,0.0796900940785834,0.08974275085215933,892.7266977626665
2025-01-14,ACB,cart,2025-01-09,2025-01-14,3d,3,-0.011990407673860948,0.0712328767123287,0.08322328438618964,694.0821917808196
2025-01-15,ACB,cart,2025-01-10,2025-01-15,3d,3,0.007751937984496138,0.0796900940785834,0.07193815609408727,928.002213613724
2025-01-16,ACB,cart,2025-01-13,2025-01-16,3d,3,0.003868471953578423,0.0712328767123287,0.06736440475875027,1741.3698630136557
2025-01-17,ACB,cart,2025-01-14,2025-01-17,3d,3,0.012135922330097193,0.0796900940785834,0.06755417174848621,556.6463752075215
2025-01-20,ACB,cart,2025-01-15,2025-01-20,3d,3,0.004326923076923173,0.0712328767123287,0.06690595363540552,1546.2709284626712
