step_size,ticker,horizon,model_name,total_return,cagr,sharpe,sortino,max_drawdown,turnover,win_rate,observations
2,SSI,long_3m,cart,-0.8448247431773074,-0.9771942723044292,-17.518848963958167,-25.839064811190113,-0.8448247431773074,3.0,0.0,29
2,SSI,long_3m,stacking_final,-0.9195701688903499,-0.9939895224328948,-26.208133212577987,-26.208133212577987,-0.8986792465850781,0.0,0.0,29
2,SSI,long_6m,cart,437.82446322043575,3640.1832014983847,11.901567788662037,1000000.0,0.0,2.0,1.0,29
2,SSI,long_6m,stacking_final,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
2,SSI,short_10d,cart,0.14113315299048024,0.6044072918346326,1.3518080072113894,1.1309185390198095,-0.29779764599299186,9.0,0.6363636363636364,29
2,SSI,short_10d,stacking_final,-0.24798791563045097,-0.6396075863587877,-1.5027954010397144,-1.5096320636050282,-0.4598649428755912,2.0,0.5,29
2,SSI,short_20d,cart,-0.43652119979088244,-0.8357193086451835,-1.9828049813509494,-3.310773727599153,-0.7405834338215214,0.0,0.6071428571428571,29
2,SSI,short_20d,stacking_final,-0.43652119979088244,-0.8357193086451835,-1.9828049813509494,-3.310773727599153,-0.7405834338215214,0.0,0.6071428571428571,29
2,SSI,short_30d,cart,-0.6707139465871881,-0.952669585180992,-3.8066040401363144,-8.807634406360311,-0.8479646709467978,2.0,0.4444444444444444,29
2,SSI,short_30d,stacking_final,-0.6940739850639479,-0.9613295791005737,-4.43815391804078,-11.439227866639593,-0.8323823207974989,2.0,0.4090909090909091,29
2,SSI,short_5d,cart,0.18591264155089426,0.9678738855535289,3.5305475963191393,3.7281292603545406,-0.03345631697345086,9.0,0.6956521739130435,29
2,SSI,short_5d,stacking_final,-0.1278681517282627,-0.4190956052838012,-1.7736766601821565,-1.8043894663041524,-0.15928231931679593,2.0,0.5,29
