date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2023-02-08,ACB,cart,2023-02-03,2023-02-08,3d,3,0.0062674094707519945,0.027424094025465084,0.02115668455471309,337.56665578409394
2023-02-09,ACB,cart,2023-02-06,2023-02-09,3d,3,-0.016438356164383605,0.037174721189590976,0.05361307735397458,326.14622057001117
2023-02-10,ACB,cart,2023-02-07,2023-02-10,3d,3,-0.015950069348127593,0.02911534154535267,0.04506541089348026,282.54053264521116
2023-02-13,ACB,cart,2023-02-08,2023-02-13,3d,3,-0.0304498269896194,0.026771653543307128,0.05722148053292653,187.9205440229063
2023-02-14,ACB,cart,2023-02-09,2023-02-14,3d,3,-0.02646239554317542,0.04083266613290637,0.06729506167608179,254.30449622856236
2023-02-15,ACB,cart,2023-02-10,2023-02-15,3d,3,0.014094432699083947,0.0012307692307691465,0.012863663468314801,91.26769230769295
2023-02-16,ACB,cart,2023-02-13,2023-02-16,3d,3,0.03783012134189856,0.009055627425614388,0.028774493916284172,76.06238863530984
2023-02-17,ACB,cart,2023-02-14,2023-02-17,3d,3,0.04005722460658068,0.004521963824289488,0.03553526078229119,88.71124031007727
2023-02-20,ACB,cart,2023-02-15,2023-02-20,3d,3,0.05072967338429457,0.02629416598192269,0.02443550740237188,48.168075550703
2023-02-21,ACB,cart,2023-02-16,2023-02-21,3d,3,0.028198074277854257,0.02833078101071962,0.00013270673286536194,0.4706233892347216
2023-02-22,ACB,cart,2023-02-17,2023-02-22,3d,3,0.0020632737276480295,0.031805425631431294,0.029742151903783265,1441.502962269916
2023-02-23,ACB,cart,2023-02-20,2023-02-23,3d,3,-0.01521164021164012,0.02906448683015439,0.04427612704179451,291.06740907475523
2023-02-24,ACB,cart,2023-02-21,2023-02-24,3d,3,-0.03545150501672234,0.02833078101071962,0.06378228602744196,179.914184171747
2023-02-27,ACB,cart,2023-02-22,2023-02-27,3d,3,-0.024021962937542884,0.02911534154535267,0.05313730448289555,221.20300751879674
2023-02-28,ACB,cart,2023-02-23,2023-02-28,3d,3,-0.0396239086635326,0.037174721189590976,0.07679862985312358,193.81891500220493
2023-03-01,ACB,cart,2023-02-24,2023-03-01,3d,3,0.02219140083217752,0.0140306122448981,0.008160788587279422,36.77455357142791
2023-01-03,ACB,lightgbm,2022-12-28,2023-01-03,3d,3,0.03178294573643403,0.020024038969806184,0.011758906766627848,36.99753592426819
2023-01-04,ACB,lightgbm,2022-12-29,2023-01-04,3d,3,0.029457364341085146,0.020559736829399274,0.008897627511685872,30.20510392124954
2023-01-05,ACB,lightgbm,2022-12-30,2023-01-05,3d,3,0.04361370716510904,0.02358265806343368,0.020031049101675358,45.928334011698496
2023-01-06,ACB,lightgbm,2023-01-03,2023-01-06,3d,3,0.019534184823440937,0.02353487202105235,0.004000687197611413,20.480441000080052
