slice_name,candidate_source,baseline,transaction_cost_bps,slippage_bps,row_count,gross_return,net_return,turnover,max_drawdown,profit_factor,win_rate,trade_count,average_trade_return,exposure,benchmark_comparison,status
confidence_xgboost_h1_t0.79,confidence_sweep,model_signal,5,5,924,0.1519137107592003,0.1034627782820187,0.2142857142857142,-0.0377088608853183,1.6394756112820896,0.6096654275092936,198,0.0021552993552022,0.2911255411255411,0.056571553587595,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,model_signal,5,10,924,0.1519137107592003,0.0799993646901195,0.2142857142857142,-0.0406678406051264,1.5703929774344707,0.6059479553903345,198,0.0019638495410758,0.2911255411255411,0.0346341163818126,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,model_signal,10,5,924,0.1519137107592003,0.0799993646901195,0.2142857142857142,-0.0406678406051264,1.5703929774344707,0.6059479553903345,198,0.0019638495410758,0.2911255411255411,0.0346341163818126,proxy_diagnostic
confidence_random_forest_h1_t0.62,confidence_sweep,model_signal,5,5,1526,0.1007793142006163,0.066075765156331,0.1644823066841415,-0.0183886709074531,1.547390046235065,0.5967213114754099,251,0.0019136238520197,0.1998689384010485,0.0817922937932636,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,model_signal,15,5,924,0.1519137107592003,0.0570298975242595,0.2142857142857142,-0.0436185453280054,1.5031957434952326,0.5836431226765799,198,0.0017723997269494,0.2911255411255411,0.0131888278995422,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,model_signal,5,15,924,0.1519137107592003,0.0570298975242595,0.2142857142857142,-0.0436185453280054,1.5031957434952326,0.5836431226765799,198,0.0017723997269494,0.2911255411255411,0.0131888278995422,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,model_signal,10,10,924,0.1519137107592003,0.0570298975242595,0.2142857142857142,-0.0436185453280054,1.5031957434952326,0.5836431226765799,198,0.0017723997269494,0.2911255411255411,0.0131888278995422,proxy_diagnostic
confidence_random_forest_h1_t0.62,confidence_sweep,model_signal,10,5,1526,0.1007793142006163,0.0491327522317779,0.1644823066841415,-0.0203004312841681,1.4770746370744066,0.5868852459016394,251,0.0017021484421837,0.1998689384010485,0.065623352955591,proxy_diagnostic
confidence_random_forest_h1_t0.62,confidence_sweep,model_signal,5,10,1526,0.1007793142006163,0.0491327522317779,0.1644823066841415,-0.0203004312841681,1.4770746370744066,0.5868852459016394,251,0.0017021484421837,0.1998689384010485,0.065623352955591,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,buy_and_hold,5,5,924,0.0499485773916053,0.0468912246944237,0.0292207792207792,-0.0831069180068126,0.9755153271692742,0.4242424242424242,27,-0.0001003461771715,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,always_up,5,5,924,0.0499485773916053,0.0468912246944237,0.0292207792207792,-0.0831069180068126,0.9755153271692742,0.4242424242424242,27,-0.0001003461771715,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,buy_and_hold,5,10,924,0.0499485773916053,0.0453652483083069,0.0292207792207792,-0.0839824621843414,0.9720237090511522,0.4231601731601732,27,-0.0001149565667819,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,always_up,5,10,924,0.0499485773916053,0.0453652483083069,0.0292207792207792,-0.0839824621843414,0.9720237090511522,0.4231601731601732,27,-0.0001149565667819,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,buy_and_hold,10,5,924,0.0499485773916053,0.0453652483083069,0.0292207792207792,-0.0839824621843414,0.9720237090511522,0.4231601731601732,27,-0.0001149565667819,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,always_up,10,5,924,0.0499485773916053,0.0453652483083069,0.0292207792207792,-0.0839824621843414,0.9720237090511522,0.4231601731601732,27,-0.0001149565667819,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,buy_and_hold,5,15,924,0.0499485773916053,0.0438410696247173,0.0292207792207792,-0.0848573123455715,0.9685508970130474,0.4231601731601732,27,-0.0001295669563923,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,buy_and_hold,15,5,924,0.0499485773916053,0.0438410696247173,0.0292207792207792,-0.0848573123455715,0.9685508970130474,0.4231601731601732,27,-0.0001295669563923,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,always_up,5,15,924,0.0499485773916053,0.0438410696247173,0.0292207792207792,-0.0848573123455715,0.9685508970130474,0.4231601731601732,27,-0.0001295669563923,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,always_up,10,10,924,0.0499485773916053,0.0438410696247173,0.0292207792207792,-0.0848573123455715,0.9685508970130474,0.4231601731601732,27,-0.0001295669563923,1.0,0.0,proxy_diagnostic
confidence_xgboost_h1_t0.79,confidence_sweep,buy_and_hold,10,10,924,0.0499485773916053,0.0438410696247173,0.0292207792207792,-0.0848573123455715,0.9685508970130474,0.4231601731601732,27,-0.0001295669563923,1.0,0.0,proxy_diagnostic
