horizon,regime,model_name,signal_bucket,observations,avg_actual_return,median_actual_return,hit_rate,realized_profit_rate,positive_precision,recall_of_profitable_cases,lift_vs_base_rate
5d,bull,cart,moderate_positive,5,0.01566512397858984,0.0133995037220844,0.6,0.4,0.4,0.03636363636363636,0.9309090909090909
5d,bull,cart,reject,60,0.012086316795762277,0.00728421475886695,0.6333333333333333,0.5166666666666667,0.5166666666666667,0.5636363636363636,1.2024242424242426
5d,bull,cart,strong_or_moderate_positive,22,0.0031392441212947497,0.00257665651580395,0.5,0.4090909090909091,0.4090909090909091,0.16363636363636364,0.9520661157024793
5d,bull,cart,strong_positive,17,-0.0005448381896743948,-0.0018691588785045,0.47058823529411764,0.4117647058823529,0.4117647058823529,0.12727272727272726,0.9582887700534759
5d,bull,cart,weak_or_uncertain,46,-0.012285846801235104,-0.00983517154546925,0.43478260869565216,0.32608695652173914,0.32608695652173914,0.2727272727272727,0.7588932806324111
5d,bull,lightgbm,moderate_positive,8,0.0086449995411078,0.01021289489090145,0.625,0.5,0.5,0.07272727272727272,1.1636363636363636
5d,bull,lightgbm,reject,74,-0.00257420192268619,-0.0006726457399103,0.4864864864864865,0.36486486486486486,0.36486486486486486,0.4909090909090909,0.8491400491400491
5d,bull,lightgbm,strong_or_moderate_positive,22,0.011987544714689087,0.01021289489090145,0.5909090909090909,0.45454545454545453,0.45454545454545453,0.18181818181818182,1.0578512396694215
5d,bull,lightgbm,strong_positive,14,0.01389757052816411,0.01109069805774575,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.10909090909090909,0.9974025974025974
5d,bull,lightgbm,weak_or_uncertain,32,0.0048705745035320155,0.01540228350661175,0.625,0.5625,0.5625,0.32727272727272727,1.309090909090909
5d,bull,xgboost,moderate_positive,11,0.01382540517312153,0.0118471953578336,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.12727272727272726,1.48099173553719
5d,bull,xgboost,reject,55,-0.004278164791309096,-0.0052290315833507,0.4727272727272727,0.3090909090909091,0.3090909090909091,0.3090909090909091,0.7193388429752066
5d,bull,xgboost,strong_or_moderate_positive,33,0.011459145997320234,0.0110417666826692,0.5757575757575758,0.48484848484848486,0.48484848484848486,0.2909090909090909,1.128374655647383
5d,bull,xgboost,strong_positive,22,0.010276016409419587,0.00820324750462305,0.5454545454545454,0.4090909090909091,0.4090909090909091,0.16363636363636364,0.9520661157024793
5d,bull,xgboost,weak_or_uncertain,40,0.002156016779195973,0.0103882545991638,0.6,0.55,0.55,0.4,1.28
5d,sideway,cart,moderate_positive,2,0.0669638552828445,0.0669638552828445,1.0,0.5,0.5,0.04,0.8
5d,sideway,cart,reject,17,0.046868589008345236,0.0246851385390427,0.7058823529411765,0.6470588235294118,0.6470588235294118,0.44,1.035294117647059
5d,sideway,cart,strong_or_moderate_positive,5,0.03825142382570584,0.0059063136456212,0.8,0.6,0.6,0.12,0.96
5d,sideway,cart,strong_positive,3,0.019109802854280065,0.0059063136456212,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.08,1.0666666666666667
5d,sideway,cart,weak_or_uncertain,18,0.033387764395044005,0.029262597985417797,0.8333333333333334,0.6111111111111112,0.6111111111111112,0.44,0.9777777777777779
5d,sideway,lightgbm,moderate_positive,7,0.01820179983343422,0.0019240019240018,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.08,0.45714285714285713
5d,sideway,lightgbm,reject,18,0.03807065500964979,0.0162976598341215,0.7222222222222222,0.6111111111111112,0.6111111111111112,0.44,0.9777777777777779
5d,sideway,lightgbm,strong_or_moderate_positive,11,0.03781284984051128,0.0059063136456212,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.24,0.8727272727272727
5d,sideway,lightgbm,strong_positive,4,0.07213218735289613,0.053198458402684404,1.0,1.0,1.0,0.16,1.6
5d,sideway,lightgbm,weak_or_uncertain,11,0.044344522996533624,0.0507747318235993,0.8181818181818182,0.7272727272727273,0.7272727272727273,0.32,1.1636363636363636
5d,sideway,xgboost,moderate_positive,5,0.07264259980261475,0.062673611111111,1.0,0.8,0.8,0.16,1.28
5d,sideway,xgboost,reject,6,0.011919214451319417,-0.00128527802946415,0.5,0.3333333333333333,0.3333333333333333,0.08,0.5333333333333333
5d,sideway,xgboost,strong_or_moderate_positive,13,0.043244618201630176,0.0397184514831572,0.8461538461538461,0.6923076923076923,0.6923076923076923,0.36,1.1076923076923078
5d,sideway,xgboost,strong_positive,8,0.024870879701014814,0.022812382564389198,0.75,0.625,0.625,0.2,1.0
5d,sideway,xgboost,weak_or_uncertain,21,0.045490836573908636,0.027687574773543,0.8095238095238095,0.6666666666666666,0.6666666666666666,0.56,1.0666666666666667
