date,ticker,model_name,prediction_date,target_date,horizon,horizon_days,actual_return,predicted_return,absolute_error,pct_error
2024-06-24,ACB,cart,2024-06-19,2024-06-24,3d,3,-0.022330097087378653,-0.09128386336866912,0.06895376628129046,308.7929533466484
2024-06-25,ACB,cart,2024-06-20,2024-06-25,3d,3,-0.030405405405405372,-0.09128386336866912,0.060878457963263743,200.22248396806765
2024-06-26,ACB,cart,2024-06-21,2024-06-26,3d,3,-0.018039980497318475,-0.09128386336866912,0.07324388287135064,406.0086588355118
2024-06-27,ACB,cart,2024-06-24,2024-06-27,3d,3,-0.006454816285997977,-0.10385064177362902,0.09739582548763104,1508.8860964006924
2024-06-28,ACB,cart,2024-06-25,2024-06-28,3d,3,-0.010452961672473893,-0.10385064177362902,0.09339768010115512,893.5044729677152
2024-07-01,ACB,cart,2024-06-26,2024-07-01,3d,3,-0.012909632571996066,-0.10385064177362902,0.09094100920163295,704.4430482003393
2024-07-02,ACB,cart,2024-06-27,2024-07-02,3d,3,0.003998000999500206,-0.09128386336866912,0.09528186436816932,2383.237632508861
2024-07-03,ACB,cart,2024-06-28,2024-07-03,3d,3,0.019114688128772706,-0.10385064177362902,0.12296532990240172,643.3028311736151
2024-07-04,ACB,cart,2024-07-01,2024-07-04,3d,3,0.015090543259557387,-0.09128386336866912,0.1063744066282265,704.9077345897123
2024-07-05,ACB,cart,2024-07-02,2024-07-05,3d,3,0.010452961672474004,-0.10385064177362902,0.11430360344610302,1093.5044729677047
2024-07-08,ACB,cart,2024-07-03,2024-07-08,3d,3,0.0,-0.09128386336866912,0.09128386336866912,
2024-07-09,ACB,cart,2024-07-04,2024-07-09,3d,3,0.005946481665014991,-0.10385064177362902,0.109797123438644,1846.4216258264912
2024-07-10,ACB,cart,2024-07-05,2024-07-10,3d,3,-0.0019704433497536034,-0.10385064177362902,0.10188019842387541,5170.420070011916
2024-07-11,ACB,cart,2024-07-08,2024-07-11,3d,3,-0.003948667324777944,-0.10385064177362902,0.09990197444885107,2530.0175029171173
2024-07-12,ACB,cart,2024-07-09,2024-07-12,3d,3,-0.012315270935960632,-0.10385064177362902,0.09153537083766838,743.2672112018648
2024-07-15,ACB,cart,2024-07-10,2024-07-15,3d,3,-0.012339585389930852,-0.10385064177362902,0.09151105638369816,741.6056009334927
2024-07-16,ACB,cart,2024-07-11,2024-07-16,3d,3,-0.001982160555004886,-0.09128386336866912,0.08930170281366423,4505.270906949518
2024-07-17,ACB,cart,2024-07-12,2024-07-17,3d,3,0.02094763092269325,-0.10385064177362902,0.12479827269632227,595.7631827526818
2024-07-18,ACB,cart,2024-07-15,2024-07-18,3d,3,0.035482258870564554,-0.10385064177362902,0.13933290064419357,392.6832875901868
2024-07-19,ACB,cart,2024-07-16,2024-07-19,3d,3,0.04121151936444867,-0.05628742514970053,0.0974989445141492,236.58177620662335
2024-07-22,ACB,cart,2024-07-17,2024-07-22,3d,3,0.010258915486077269,-0.05628742514970053,0.0665463406357778,648.6683775306478
2024-07-23,ACB,cart,2024-07-18,2024-07-23,3d,3,-0.0323359073359073,-0.10385064177362902,0.07151473443772172,221.16198470889486
2024-07-24,ACB,cart,2024-07-19,2024-07-24,3d,3,-0.03576537911301858,-0.10385064177362902,0.06808526266061043,190.36639439906685
2024-07-25,ACB,cart,2024-07-22,2024-07-25,3d,3,-0.02852998065764023,-0.10385064177362902,0.07532066111598879,264.0053003184149
2024-07-26,ACB,cart,2024-07-23,2024-07-26,3d,3,0.0044887780548628076,-0.05628742514970053,0.06077620320456334,1353.9587491683385
2024-07-29,ACB,cart,2024-07-24,2024-07-29,3d,3,-0.001978239366963397,-0.0995800839832035,0.09760184461624011,4933.773245350952
2024-07-30,ACB,cart,2024-07-25,2024-07-30,3d,3,0.004479840716774541,-0.0995800839832035,0.10405992469997805,2322.8487635806073
2024-07-31,ACB,cart,2024-07-26,2024-07-31,3d,3,0.018371400198609722,-0.09128386336866912,0.10965526356727884,596.8802724986479
2024-08-01,ACB,cart,2024-07-29,2024-08-01,3d,3,-0.00842418235877096,-0.09128386336866912,0.08285968100989816,983.5931545763323
2024-08-02,ACB,cart,2024-07-30,2024-08-02,3d,3,-0.00842418235877096,-0.09128386336866912,0.08285968100989816,983.5931545763323
2024-08-05,ACB,cart,2024-07-31,2024-08-05,3d,3,-0.055095075572891394,-0.09128386336866912,0.03618878779577772,65.6842511231327
2024-08-06,ACB,cart,2024-08-01,2024-08-06,3d,3,-0.018990504747626313,-0.10385064177362902,0.0848601370260027,446.8556162869218
2024-08-07,ACB,cart,2024-08-02,2024-08-07,3d,3,-0.02298850574712652,-0.10385064177362902,0.0808621360265025,351.7502917152846
2024-08-08,ACB,cart,2024-08-05,2024-08-08,3d,3,0.0025799793601650745,-0.10385064177362902,0.10643062113379409,4125.25087514593
2024-08-09,ACB,cart,2024-08-06,2024-08-09,3d,3,0.004584819154355602,-0.10385064177362902,0.10843546092798462,2365.0978866848077
2024-08-12,ACB,cart,2024-08-07,2024-08-12,3d,3,0.01687979539641926,-0.09128386336866912,0.10816365876508838,640.7877360174242
2024-08-13,ACB,cart,2024-08-08,2024-08-13,3d,3,0.014925373134328401,-0.09128386336866912,0.10620923650299752,711.6018845700813
2024-08-14,ACB,cart,2024-08-09,2024-08-14,3d,3,-0.0020283975659228792,-0.09128386336866912,0.08925546580274624,4400.2944640754795
2024-08-15,ACB,cart,2024-08-12,2024-08-15,3d,3,-0.012575452716297786,-0.09128386336866912,0.07870841065237133,625.8892815076568
2024-08-16,ACB,cart,2024-08-13,2024-08-16,3d,3,0.016734279918864114,-0.09128386336866912,0.10801814328753323,645.4902380697433
2024-08-19,ACB,cart,2024-08-14,2024-08-19,3d,3,0.02083333333333326,-0.10385064177362902,0.12468397510696227,598.4830805134211
2024-08-20,ACB,cart,2024-08-15,2024-08-20,3d,3,0.025980641874681742,-0.10385064177362902,0.12983128364831076,499.7231564737897
2024-08-21,ACB,cart,2024-08-16,2024-08-21,3d,3,0.01695760598503737,-0.10385064177362902,0.12080824775866639,712.4133434003724
2024-08-22,ACB,cart,2024-08-19,2024-08-22,3d,3,0.014932802389248323,-0.10385064177362902,0.11878344416287734,795.453131077405
2024-06-24,ACB,lightgbm,2024-06-19,2024-06-24,3d,3,-0.022330097087378653,-0.04635287355428076,0.02402277646690211,107.58025983003982
2024-06-25,ACB,lightgbm,2024-06-20,2024-06-25,3d,3,-0.030405405405405372,-0.045317305620778826,0.014911900215373454,49.043582930561634
