ticker,model_name,observations,mae,rmse,mape,directional_accuracy
ACB,cart,37,0.16392636215778902,0.17373997721149861,190.47558162654886,0.16216216216216217
ACB,lightgbm,37,0.156015460096774,0.15990676018685265,178.55044345490484,0.0
ACB,xgboost,37,0.14429651067769114,0.14702110829954976,165.64715500782503,0.0
DGC,cart,37,0.090346896634374,0.1143941091689142,1008.9259036496723,0.7027027027027027
DGC,lightgbm,37,0.07858544303728403,0.0854595340049001,662.0662200761054,0.4864864864864865
DGC,xgboost,37,0.09199480476731155,0.09731027921112091,726.4961688879442,0.4864864864864865
HPG,cart,37,0.055980303037855006,0.0641120730133604,833.0573303917305,0.8918918918918919
HPG,lightgbm,37,0.07408288593866841,0.0836187086510261,1100.7754895977628,0.918918918918919
HPG,xgboost,37,0.07504521413447386,0.08990798674653724,1133.3887901569508,0.918918918918919
MWG,cart,37,0.12236835313569952,0.13391435302137902,357.3150173439333,0.21621621621621623
MWG,lightgbm,37,0.10811222894045873,0.1138373386950359,281.94842849453863,0.08108108108108109
MWG,xgboost,37,0.10333450377647027,0.10949401152226809,238.16160250881825,0.10810810810810811
OVERALL,cart,148,0.10815547874142939,0.127784001096779,597.4434582529713,0.49324324324324326
OVERALL,lightgbm,148,0.10419900450329629,0.11491794031332074,555.8351454058277,0.3716216216216216
OVERALL,xgboost,148,0.10366775833898671,0.11308943514518535,565.9234291403845,0.3783783783783784
