date,prediction_date,ticker,regime,selector_mode,candidate_label,market_return_20d,market_volatility_20d,stock_relative_strength_20d,predicted_return,predicted_profit_probability,normalized_predicted_return,confidence_bucket,probability_entropy,predicted_return_dispersion,predicted_probability_dispersion,context_bin_key,context_utility_score,context_prior_sample_count,context_prior_fold_count,fallback_used,fallback_source
2024-06-24,2024-05-27,ACB,bull,context_knn_selector,xgboost+20d+predicted_return,0.0514843108467912,0.0070661388366446,0.0,-0.0853626579046249,0.0094870571047067,0.3478758078198405,lt_0.50,0.053630981005767644,0.02537464765583165,0.004322175991900278,bull|bullish|mid_vol|weak_rs|low_ret|lt_0.50,0.65,40,2,False,
2024-06-24,2024-05-27,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.0514843108467912,0.0070661388366446,0.0,-0.0839220061898231,0.2595073878765106,0.3517445835319299,lt_0.50,0.5725410294509868,0.051205597670190096,0.12083155355265623,bull|bullish|mid_vol|weak_rs|low_ret|lt_0.50,0.9749999999999999,40,3,False,
2024-06-24,2024-05-27,HPG,bull,context_knn_selector,xgboost+20d+predicted_return,0.0514843108467912,0.0070661388366446,0.0,0.0416643917560577,0.9336443543434144,0.6889986201251245,0.65+,0.24410844606585758,0.010920122835580465,0.02728061647329651,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,2,False,
2024-06-24,2024-05-27,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0514843108467912,0.0070661388366446,0.0,-0.0822989460326127,0.8876143857241143,0.3880181121073236,0.65+,0.35147415470705595,0.1598947024533453,0.37891987201010907,bull|bullish|mid_vol|weak_rs|mid_ret|0.65+,0.9833333333333333,40,2,False,
2024-06-25,2024-05-28,ACB,bull,context_knn_selector,xgboost+20d+predicted_return,0.06370283077587,0.0072748968850266,0.0,-0.0834817066788673,0.0064154579304158,0.3529269789967942,lt_0.50,0.038786769869690235,0.004677009930014272,0.0029377393937575764,bull|bullish|mid_vol|weak_rs|low_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-06-25,2024-05-28,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.06370283077587,0.0072748968850266,0.0,-0.082641415297985,0.5276322364807129,0.3551835263996359,0.50-0.55,0.6916193212974595,0.045599883213806515,0.24827406935815308,bull|bullish|mid_vol|weak_rs|low_ret|0.50-0.55,0.9999999999999999,40,3,False,
2024-06-25,2024-05-28,HPG,bull,context_knn_selector,xgboost+20d+predicted_return,0.06370283077587,0.0072748968850266,0.0,0.0323322750627994,0.8793526887893677,0.6639378326812776,0.65+,0.36821273276972566,0.006310763592163333,0.04997754554757987,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-06-25,2024-05-28,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.06370283077587,0.0072748968850266,0.0,-0.016088875233932,0.6382246235328384,0.540148897439769,0.60-0.65,0.6544328474607235,0.1419604052408787,0.3185090456270218,bull|bullish|mid_vol|weak_rs|mid_ret|0.60-0.65,0.9693812070282659,40,2,False,
2024-06-26,2024-05-29,ACB,bull,context_knn_selector,xgboost+20d+predicted_return,0.0521859911369799,0.0076208050380235,0.0,-0.0620516091585159,0.0210330467671155,0.4104761006495932,lt_0.50,0.1020327691897728,0.009222666761501092,0.009757473165097065,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-06-26,2024-05-29,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.0521859911369799,0.0076208050380235,0.0,-0.0553937144577503,0.188382863998413,0.4283554402896493,lt_0.50,0.4838695862743658,0.06044508887645565,0.08797673674590636,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.975,40,3,False,
2024-06-26,2024-05-29,HPG,bull,context_knn_selector,xgboost+20d+predicted_return,0.0521859911369799,0.0076208050380235,0.0,0.0434060245752334,0.916915237903595,0.6936756608567435,0.65+,0.2862395304677457,0.006683996733321741,0.034740944403012584,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,2,False,
2024-06-26,2024-05-29,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0521859911369799,0.0076208050380235,0.0,0.0731581231976079,0.957548699601034,0.7452115985692808,0.65+,0.17565775812283413,0.09015898656383285,0.4066606310330686,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-06-27,2024-05-30,ACB,bull,context_knn_selector,xgboost+20d+predicted_return,0.0410733664375677,0.0077635502741863,0.0,-0.068634383380413,0.0079914713278412,0.3927984921296552,lt_0.50,0.046553309036499124,0.019059448437439223,0.003735844278951295,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-06-27,2024-05-30,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.0410733664375677,0.0077635502741863,0.0,-0.0516911000013351,0.2239296436309814,0.4382985686204137,lt_0.50,0.5318367752211823,0.04512098947804674,0.10488042741520082,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.9999999999999999,40,3,False,
2024-06-27,2024-05-30,HPG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0410733664375677,0.0077635502741863,0.0,0.0486768966487519,0.9673884834460694,0.6889611192108872,0.65+,0.14370603362861922,0.07912468191145797,0.06484952551473137,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-06-27,2024-05-30,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0410733664375677,0.0077635502741863,0.0,0.0659706648162647,0.5250044956155197,0.7286969856877644,0.50-0.55,0.691896209227808,0.08176603571857628,0.2925178454615427,bull|bullish|mid_vol|weak_rs|high_ret|0.50-0.55,0.9599999999999999,40,3,False,
2024-06-28,2024-05-31,ACB,bull,context_knn_selector,xgboost+20d+predicted_return,0.0333243245456704,0.0078518484661304,0.0,-0.0718951374292373,0.0037992210127413,0.3840419509493158,lt_0.50,0.024964898624908107,0.01936489762957113,0.0017334895051371265,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.5,40,2,False,
2024-06-28,2024-05-31,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.0333243245456704,0.0078518484661304,0.0,-0.0101067060604691,0.2410603165626526,0.5499707317306436,lt_0.50,0.5522990544764829,0.07723618815119095,0.1134647628795373,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.9999999999999999,40,3,False,
2024-06-28,2024-05-31,HPG,bull,context_knn_selector,xgboost+20d+predicted_return,0.0333243245456704,0.0078518484661304,0.0,0.0472260639071464,0.6654826402664185,0.7039341259907432,0.65+,0.6373317204016224,0.10692668605179019,0.27533926373518636,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9363636363636363,40,3,False,
2024-06-28,2024-05-31,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0333243245456704,0.0078518484661304,0.0,0.0614289869789508,0.2121516039046788,0.7182615789923331,lt_0.50,0.5167934677227871,0.04151010370372811,0.1944342583937619,bull|bullish|mid_vol|weak_rs|high_ret|lt_0.50,0.9368421052631578,40,2,False,
2024-07-01,2024-06-03,ACB,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0309444417596933,0.0076281371222301,0.0,-0.0726215017893517,0.0009285819569701,0.4102539619558271,lt_0.50,0.0074113724038145,0.002885675699417862,0.007875301054714666,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-01,2024-06-03,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.0309444417596933,0.0076281371222301,0.0,-0.0119066592305898,0.1986966580152511,0.5451370755208085,lt_0.50,0.49859029077655703,0.0589531756187772,0.0932034646591654,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.8999999999999999,40,3,False,
2024-07-01,2024-06-03,HPG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0309444417596933,0.0076281371222301,0.0,0.0203491832632755,0.9537971149206684,0.623872572528789,0.65+,0.1871793159261032,0.10901906292067334,0.09670236217580847,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-07-01,2024-06-03,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0309444417596933,0.0076281371222301,0.0,0.0541432632724252,0.5558783849182092,0.7015211820131618,0.55-0.60,0.6868893282535724,0.04708139649815272,0.2577140224053496,bull|bullish|mid_vol|weak_rs|high_ret|0.55-0.60,0.9568194680249009,40,3,False,
2024-07-02,2024-06-04,ACB,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0279426251171281,0.0075726821647901,0.0,-0.0640943859644892,0.0006083171777333,0.4298467038364611,lt_0.50,0.005112607753449932,0.01757450580055517,0.014375537815900797,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-02,2024-06-04,DGC,sideway,context_knn_selector,xgboost+20d+predicted_return,0.0279426251171281,0.0075726821647901,0.0,-0.0430853068828582,0.1793245524168014,0.4614088617314796,lt_0.50,0.47036772655862646,0.06140269496395346,0.08400060487969639,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-02,2024-06-04,HPG,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0279426251171281,0.0075726821647901,0.0,-0.0141507995913014,0.2722094967216786,0.544602011082308,lt_0.50,0.585444092367915,0.12189585008204418,0.35740945009517827,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.9666666666666666,40,3,False,
2024-07-02,2024-06-04,MWG,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0279426251171281,0.0075726821647901,0.0,0.0628900584648109,0.764572656392812,0.7216186808635362,0.65+,0.5457515520970004,0.02383345941450606,0.13588456439742927,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.8999999999999999,40,3,False,
2024-07-03,2024-06-05,ACB,sideway,context_knn_selector,xgboost+20d+predicted_return,0.0271020264542647,0.0075745575511846,0.0,-0.0657998248934745,0.0169700141996145,0.400410513075518,lt_0.50,0.08600019585024687,0.021691313445703325,0.007954971965670575,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-03,2024-06-05,DGC,sideway,context_knn_selector,cart+20d+combined_rank_based,0.0271020264542647,0.0075745575511846,0.0,0.0085047695667164,1.0,0.4941206011592031,0.65+,1.4815510058361381e-05,0.04716619253158814,0.4349971077308611,sideway|neutral|mid_vol|weak_rs|mid_ret|0.65+,0.98,40,3,False,
2024-07-03,2024-06-05,HPG,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0271020264542647,0.0075745575511846,0.0,0.0117950929626419,0.6623063698513008,0.6042178514336113,0.65+,0.639493810667178,0.11586061874468885,0.2215410455905401,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-07-03,2024-06-05,MWG,sideway,context_knn_selector,xgboost+20d+predicted_return,0.0271020264542647,0.0075745575511846,0.0,0.0437616072595119,0.858341634273529,0.6946305548387115,0.65+,0.40796251625334734,0.10132959705204356,0.060726590455183686,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.9734655324019358,40,3,False,
2024-07-04,2024-06-06,ACB,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0279664274730906,0.0075604046822928,0.0,-0.0681008501883679,0.0012781769194044,0.4206410566980025,lt_0.50,0.009792983993272142,0.013315946656734521,0.004011570875579051,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.65,40,2,False,
2024-07-04,2024-06-06,DGC,sideway,context_knn_selector,cart+20d+combined_rank_based,0.0279664274730906,0.0075604046822928,0.0,-0.218138183655425,1.0,0.0706533132647334,0.65+,1.4815510058361381e-05,0.10005810487359391,0.45921706795433215,sideway|neutral|mid_vol|weak_rs|low_ret|0.65+,0.865,40,3,False,
2024-07-04,2024-06-06,HPG,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0279664274730906,0.0075604046822928,0.0,0.0347897921739919,0.8975043640047986,0.6570527390467468,0.65+,0.33053209769823283,0.10630755051738215,0.10699461005997676,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-07-04,2024-06-06,MWG,sideway,context_knn_selector,xgboost+20d+predicted_return,0.0279664274730906,0.0075604046822928,0.0,0.0351709686219692,0.8411625623703003,0.6715609580924681,0.65+,0.4377370478495881,0.09447294404452294,0.07053027535604475,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.9816323202077298,40,3,False,
2024-07-05,2024-06-07,ACB,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0344500682895476,0.0074911002521959,0.0,-0.0845332361884109,0.0003408659506591,0.3828843867999508,lt_0.50,0.003062288847678485,0.0034425855433394266,0.007319850488295605,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-05,2024-06-07,DGC,bull,context_knn_selector,cart+20d+combined_rank_based,0.0344500682895476,0.0074911002521959,0.0,-0.218138183655425,1.0,0.0706533132647334,0.65+,1.4815510058361381e-05,0.07400443609082295,0.4345779461032835,bull|bullish|mid_vol|weak_rs|low_ret|0.65+,0.875,40,3,False,
2024-07-05,2024-06-07,HPG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0344500682895476,0.0074911002521959,0.0,0.018038437421782,0.7839181277391083,0.6185631751013347,0.65+,0.5219039952160183,0.11097754929828459,0.13049540943771473,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9923076923076922,40,3,False,
2024-07-05,2024-06-07,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0344500682895476,0.0074911002521959,0.0,0.0876570482444735,0.9877762299234925,0.7785257579901749,0.65+,0.06598679463300525,0.12436617435020396,0.06822385928845325,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9969696969696968,40,3,False,
2024-07-08,2024-06-10,ACB,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.040711832153397,0.00738491369777,0.0,-0.0639678495529652,0.0005579521984897,0.4301374463689201,lt_0.50,0.004737548815642266,0.012958007485702994,0.012671534882962163,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.7000000000000001,40,2,False,
2024-07-08,2024-06-10,DGC,bull,context_knn_selector,cart+20d+combined_rank_based,0.040711832153397,0.00738491369777,0.0,-0.218138183655425,1.0,0.0706533132647334,0.65+,1.4815510058361381e-05,0.07340695056083511,0.4311907773762637,bull|bullish|mid_vol|weak_rs|low_ret|0.65+,0.875,40,3,False,
2024-07-08,2024-06-10,HPG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.040711832153397,0.00738491369777,0.0,0.0437673738125403,0.947934400604327,0.6776805155856253,0.65+,0.20455293616109735,0.10115579507389795,0.11490808718515153,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-07-08,2024-06-10,MWG,bull,context_knn_selector,xgboost+20d+predicted_return,0.040711832153397,0.00738491369777,0.0,0.0114924637600779,0.8826624751091003,0.6079738859590217,0.65+,0.3615864144375119,0.023414585125056685,0.05097174513676566,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,2,False,
2024-07-09,2024-06-11,ACB,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0330818480149284,0.0075411734850061,0.0,-0.0546448790858402,0.0002688931603147,0.4515588223270799,lt_0.50,0.0024794804951560716,0.011721177285878268,0.012391481946365124,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.65,40,2,False,
2024-07-09,2024-06-11,DGC,bull,context_knn_selector,xgboost+20d+predicted_return,0.0330818480149284,0.0075411734850061,0.0,-0.0646083056926727,0.1930620521306991,0.4036102597576537,lt_0.50,0.49063263372532717,0.06600929964018526,0.4327275857135781,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.8999999999999998,40,3,False,
2024-07-09,2024-06-11,HPG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0330818480149284,0.0075411734850061,0.0,0.0279670442503082,0.6041026819703482,0.6413761208641244,0.60-0.65,0.6713130655120989,0.10875685046013674,0.24405382421240843,bull|bullish|mid_vol|weak_rs|high_ret|0.60-0.65,0.9999999999999999,40,3,False,
2024-07-09,2024-06-11,MWG,bull,context_knn_selector,xgboost+20d+predicted_return,0.0330818480149284,0.0075411734850061,0.0,0.048990286886692,0.9020214080810548,0.7086718311167285,0.65+,0.32061864799964557,0.06714990680448288,0.04246544329515405,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,2,False,
2024-07-10,2024-06-12,ACB,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.036511770661437,0.0077458022236336,0.0,-0.0654378308951607,0.0001268039610125,0.4267598723335106,lt_0.50,0.0012645911603670467,0.011078509674944672,0.004662490399938386,bull|bullish|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-10,2024-06-12,DGC,bull,context_knn_selector,cart+20d+combined_rank_based,0.036511770661437,0.0077458022236336,0.0,-0.218138183655425,1.0,0.0706533132647334,0.65+,1.4815510058361381e-05,0.06888587004398619,0.42290050964007314,bull|bullish|mid_vol|weak_rs|low_ret|0.65+,0.8691666666666666,40,3,False,
2024-07-10,2024-06-12,HPG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.036511770661437,0.0077458022236336,0.0,0.0493634822366783,0.6173308444590718,0.6905386859379606,0.60-0.65,0.6653557008552637,0.05452878284857508,0.17910526561598272,bull|bullish|mid_vol|weak_rs|high_ret|0.60-0.65,0.95,40,3,False,
2024-07-10,2024-06-12,MWG,bull,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.036511770661437,0.0077458022236336,0.0,0.0885079074964726,0.9372492626086956,0.7804807760811172,0.65+,0.23447013233347658,0.0734915461511475,0.09112755899295596,bull|bullish|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,2,False,
2024-07-11,2024-06-13,ACB,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0257964343700247,0.0074056958590194,0.0,-0.085038885514093,0.0001619739105157,0.3817225570648228,lt_0.50,0.0015756812767183594,0.0027939438495117714,0.0055502149500598254,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.7999999999999999,40,2,False,
2024-07-11,2024-06-13,DGC,sideway,context_knn_selector,cart+20d+combined_rank_based,0.0257964343700247,0.0074056958590194,0.0,-0.218138183655425,1.0,0.0706533132647334,0.65+,1.4815510058361381e-05,0.07331492222410178,0.4311393238675313,sideway|neutral|mid_vol|weak_rs|low_ret|0.65+,0.8999999999999999,40,3,False,
2024-07-11,2024-06-13,HPG,sideway,context_knn_selector,xgboost+20d+predicted_return,0.0257964343700247,0.0074056958590194,0.0,0.0817605331540107,0.9309774041175842,0.7966741786207068,0.65+,0.25110333698443954,0.049889311041985594,0.02827807094082091,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-07-11,2024-06-13,MWG,sideway,context_knn_selector,lightgbm+20d+combined_weighted_linear,0.0257964343700247,0.0074056958590194,0.0,0.0735860669846989,0.8742928820464049,0.7461948843991094,0.65+,0.378143867156186,0.08150183178930252,0.12258837179991526,sideway|neutral|mid_vol|weak_rs|high_ret|0.65+,0.9999999999999999,40,3,False,
2024-07-12,2024-06-14,ACB,sideway,context_knn_selector,xgboost+20d+predicted_return,0.0053412509523922,0.008391235947184,0.0,-0.0645724534988403,0.0312284491956233,0.4037065384732508,lt_0.50,0.13898678559585392,0.014975618513964286,0.014665186901071834,sideway|neutral|mid_vol|weak_rs|mid_ret|lt_0.50,0.65,40,2,False,
2024-07-12,2024-06-14,DGC,sideway,context_knn_selector,cart+20d+combined_rank_based,0.0053412509523922,0.008391235947184,0.0,-0.218138183655425,1.0,0.0706533132647334,0.65+,1.4815510058361381e-05,0.0663088515834644,0.4263928948562761,sideway|neutral|mid_vol|weak_rs|low_ret|0.65+,0.875,40,3,False,
